date,tweet,Category,Text,polarity,Sentiment
2023-03-01T13:40:08+00:00,"Convert pulsa tri 3 isat indosat IM3 tsel Telkomsel XL Axis bisa banget di @ aleahurts! Rate cakep boleh intip dulu &gt;&lt;

Tanya-tanya atau order DM langsung atau WA ke https://t.co/ogkwpvi0AS luvv! #zonauang #zonaba #zonabu",Tekno,convert pulsa tri 3 isat indosat im3 tsel telkomsel xl axis banget aleahurts rate cakep intip lantai order dm langsung wa luvv zonauang zonaba zonabu,0.2002,Positive
2023-03-01T13:42:05+00:00,"INDICO, mengelola platform Digital Food Ecosystem (DFE) Telkomsel untuk memberikan kontribusi teknologi dan pemberdayaan petani. Untuk itu, bekerjasama dengan Tanivest, agritech enabler asal INDICO menjangkau para petani di Jawa Tengah. #INDICO

https://t.co/aGCLkxliIp https://t.co/tkIf837YNf",Ekonomi,indico kelola platform digital food ecosystem dfe telkomsel kontribusi teknologi daya tani bekerjasama tanivest agritech enabler jangkau jawa,0,Neutral
2023-03-01T14:01:07+00:00,"TRANSFER

â€¢ Ready paket data dan pulsa telkomsel, indosat, smartfren, 3, xl, axis.",Tekno,transfer ready paket data pulsa telkomsel indosat smartfren 3 xl axis,-0.0496,Negative
2023-03-01T14:01:55+00:00,"Result Togel : PAKONG
Tanggal 01 MARET 2023 
Result  : 5064
Shio     : TIKUS
Selamat kepada para pemenang!! 
LINK SITUS : https://t.co/6ksg4VkVNO 

#TOGELJITU #TOGEL #SLOTGACOR #RGOCASH #MISTERIPREDIKSI 
#JPPAUS #SYDNEY #HONGKONG #SINGAPORE #RGOTOTO",Tekno,result togel pakong tanggal 01 maret 2023 5064 shio tikus selamat menang link situs togeljitu slotgacor rgocash misteriprediksi jppaus sydney hongkong singapore rgototo,0,Neutral
2023-03-01T14:03:13+00:00,nomor 1 paling seru di vol 3 https://t.co/GWoDWtJhmb,Tekno,nomor 1 seru vol 3,0,Neutral
2023-03-01T14:29:18+00:00,tanyakanrl Aku user telkomsel sama 3 senyum:),Tekno,tanyakanrl user telkomsel 3 senyum,0.2088,Positive
2023-03-01T14:53:14+00:00,"OPEN CONVERT

TSEL : 0,84
XL /AXIS : 0,80

ðŸ·cv, tsel, axis, xl, pulsa, bank, ewallet, gopay, spay, shopeepay, dana, ovo, linkaja, #zonauang NET TV, Ratu Felisha, Mbangking BCA, BI Fast, Irak, Malam, KPAI, Maret, PBSI

Testimoni bisa liat disini yaa ka
https://t.co/50KqHObAbQ https://t.co/FW49NULWfA",Ekonomi,open convert tsel 0 84 xl axis 80 cv pulsa bank ewallet gopay spay shopeepay dana ovo linkaja zonauang net tv ratu felisha mbangking baca bi fast irak malam kpai maret pbsi testimoni lihat ya kak,0.0798,Positive
2023-03-01T15:16:59+00:00,tidak lain tidak bukan https://t.co/kRL43lAtEK,Ekonomi,,0,Neutral
2023-03-01T15:30:23+00:00,"Sharing akrab XL harga 45k
Kuota bersama 26GB/agt
kuota nasional &amp; Kuota bonus dibwh
Kuota lokal 
Area 2: 3gb
area 3: 15gb
Area 4: 43gb

#zonauang https://t.co/pPI7IgpgsI",Budaya,sharing akrab xl harga 45k kuota 26gb agt nasional amp bonus dibwh lokal area 2 3gb 3 15gb 4 43gb zonauang,0.1678,Positive
2023-03-01T16:03:02+00:00,"Result Togel : HONGKONG
Tanggal 01 MARET 2023  
Result  : 2030
Shio     :  ANJING
Selamat kepada para pemenang!!  
LINK SITUS : https://t.co/6ksg4VkVNO  

#TOGELJITU #TOGEL #SLOTGACOR #RGOCASH #MISTERIPREDIKSI  
#JPPAUS #SYDNEY #HONGKONG #SINGAPORE #RGOTOTO",Lifestyle,result togel hongkong tanggal 01 maret 2023 2030 shio anjing selamat menang link situs togeljitu slotgacor rgocash misteriprediksi jppaus sydney singapore rgototo,-0.0398,Negative
2023-03-01T16:08:06+00:00,"bundalely14 Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,bundalely14 join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-01T16:08:55+00:00,"intancantika23 Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,intancantika23 join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-01T16:09:27+00:00,"Ceceereal13 Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,ceceereal13 join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-01T16:10:03+00:00,"surirahmadelfi Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,surirahmadelfi join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-01T16:10:34+00:00,"wulandari_reall Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,wulandari reall join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-01T16:12:45+00:00,"tanyakanrl masih pakai telkomsel, karena udah lama bgt aja pake nomernya dari jaman SMA dan masih dipake sampe sekarang kerja",Entertaiment,tanyakanrl pakai telkomsel banget nomernya jaman pakai kerja,0.1536,Positive
2023-03-01T16:15:49+00:00,Info kuota telkomsel buat 3 hari sekalian harga ya #zonauangï¸,Entertaiment,info kuota telkomsel 3 harga ya zonauang,0.0844,Positive
2023-03-01T16:17:38+00:00,Mau kuota telkomsel yang 3 hari sekalian harga ya #zonauang,Entertaiment,kuota telkomsel 3 harga ya zonauang,0.4162,Positive
2023-03-01T16:31:51+00:00,"cara aktifasi(khusus TELKOMSEL)

ketik FSHAP kirim ke 1212

Judul :Kau Dustakan Cintaku
Artist :Gabby Sabilla
3.000 / 7 hari #NadaSambung",Tekno,aktifasi khusus telkomsel ketik fshap kirim 1212 judul kau dusta cinta artist gabby sabilla 3 000 7 nadasambung,0.625,Positive
2023-03-01T16:36:43+00:00,telkomsel i luv u 3 bulan dpt gratis mulu ðŸ˜ https://t.co/dLIWs3o4fo,Tekno,telkomsel i luv lu 3 gratis mulu,0.5902,Positive
2023-03-01T17:51:54+00:00,Telkomsel min ko aku tibaÂ² jdi silver ? Tdinya gold. Pemakaian 3 bulan terakhir 500rbuan juga ko. Whyy ? https://t.co/SiHJKgxL2P,Tekno,telkomsel min silver tdinya gold pakai 3 500rbuan whyy,0,Neutral
2023-03-01T18:08:48+00:00,"Result Togel : SANFRANCISCO
Tanggal 02 MARET 2023   
Result  : 0518
Shio     :  ANJING 
Selamat kepada para pemenang!!   
LINK SITUS : https://t.co/6ksg4VkVNO   

#TOGELJITU #TOGEL #SLOTGACOR #RGOCASH #MISTERIPREDIKSI   
#JPPAUS #SYDNEY #HONGKONG #SINGAPORE #RGOTOTO",Tekno,result togel sanfrancisco tanggal 02 maret 2023 0518 shio anjing selamat menang link situs togeljitu slotgacor rgocash misteriprediksi jppaus sydney hongkong singapore rgototo,-0.0398,Negative
2023-03-01T18:26:30+00:00,mimin @Telkomsel mau dibantu dong ini kok udah hampir 3 hari dikirimin verification code ga masuk masuk ya? servernya lagi bermasalah kah? udah berkali kali kirim tapi ga masuk masuk codenya https://t.co/EMZkbGmANb,Entertaiment,admin bantu 3 dikirimin verification code masuk ya servernya masalah kah kali kali kirim codenya,-0.0246,Negative
2023-03-01T18:34:57+00:00,"kokobop_jongdae @Telkomsel @IndiHome Halo Sobat, sebelumnya Yurai informasikan jaringan kurang stabil dapat disebabkan oleh beberapa hal salah satunya karena redaman yang tinggi.  Guna dibantu pengecekan lebih lanjut maka bisa informasikan :
1. Nomor internet
2. Atas nama
3. Alamat",Tekno,kokobop jongdae halo sobat yura informasi jaring stabil sebab salah satu redam bantu kece 1 nomor internet 2 nama 3 alamat,0.0015,Positive
2023-03-01T18:40:08+00:00,"Halo! Aleah open convert pulsa :

- Tri 3
- Indosat IM3
- Telkomsel Tsel
- XL Axis

Bisa cair ke e-wallet dan bank
Rate bisa check pinned yaa

Yuk langsung DM ke @ aleahurts atau WA https://t.co/ogkwpviyqq &lt;3 #zonauang #zonaba #zonabu",Ekonomi,halo aleah open convert pulsa tri 3 indosat im3 telkomsel tsel xl axis cair e wallet bank rate check pinned ya yuk langsung dm aleahurts wa lantai zonauang zonaba zonabu,0.0834,Positive
2023-03-01T20:06:32+00:00,"Telkomsel Udah di cek min, tadi liat masih sampe beberapa bulan dan tetiba jadi sampe 17 Maret doang gimana gak esmosi nih bos",Entertaiment,telkomsel cek min lihat tetiba 17 maret doang esmosi nih bos,-0.0251,Negative
2023-03-01T20:10:08+00:00,"KUOTA TELKOMSEL

Kuota via gift wajib check nomor dulu yaa kak. Kuota Best Deal dll BERBATAS WAKTU tidak selalu ada. 

Oder DM langsung ke @ aleahurts yuk. Wa bisa ke https://t.co/ogkwpviyqq &lt;3 #zonauang #zonaba #zonabu https://t.co/i0ocQlA1I4",Tekno,kuota telkomsel via gift wajib check nomor ya kak best deal dll batas oder dm langsung aleahurts yuk wa lantai 3 zonauang zonaba zonabu,0.0767,Positive
2023-03-01T20:31:22+00:00,Suka Musik?Suka internetan juga kawan kita ada yang seru nih https://t.co/Z7oQfapFkJ tinggal aktifin di *567*1*3#,Entertaiment,suka musik internetan kawan seru nih tinggal aktifin 567 1 3,0.0246,Positive
2023-03-01T20:31:48+00:00,"cara aktifasi(khusus TELKOMSEL)

ketik MDKDW kirim ke 1212

Judul :My Dream
Artist :Karcis
3.000 / 7 hari #NadaSambung",Tekno,aktifasi khusus telkomsel ketik mdkdw kirim 1212 judul my dream artist karcis 3 000 7 nadasambung,0.7184,Positive
2023-03-01T23:19:20+00:00,"Pulsa Reguler &amp; Pulsa Transfer
â€¢ TELKOMSEL (TSEL)
â€¢ Tri (3)
â€¢ INDOSAT (ISAT)
â€¢ AXIS
â€¢ XL
â€¢ SMARTFREN

Minat dm/wa aku yaa ðŸ–ï¸ðŸ™ðŸ»
#zonauangï¸",Tekno,pulsa reguler amp transfer telkomsel tsel tri 3 indosat isat axis xl smartfren minat dm wa ya zonauang,0.2877,Positive
2023-03-01T23:19:58+00:00,"KUOTA TELKOMSEL (TSEL)
â€¢ Data 30 Hari
â€¢ Mini Data 1 / 3 / 7 / 14 Hari
â€¢ Kuota Malam
â€¢ Combo Sakti MAX 30 Hari
â€¢ Internet Sakti 7 / 30 Hari

Dm/wa aku yaa ðŸŒ²ðŸ™ðŸ»
#zonauangï¸",Tekno,kuota telkomsel tsel data 30 mini 1 3 7 14 malam combo sakti max internet dm wa ya zonauang,-0.1218,Negative
2023-03-01T23:29:35+00:00,"Jaringan @TELKOMSEL Lelet...
Mungkin karna tdk ada pesaingnya di Indonesia Timur. Sudah 3 hari sejak tgl 27 Feb hingga Sekarang tambah lelet, baik jaringan telpon maupun jaringan internet....

@Telkomsel 
@kemenkominfo",Tekno,jaring lelet saing indonesia timur 3 tanggal 27 feb telpon internet,-0.106,Negative
2023-03-01T23:34:48+00:00,"PREDIKSI TOGEL ONLINE TERBAIK
Tanggal 2 MARET 2023
Diskon pasaran Togel :
4D : 66%
3D : 59%
2D : 29%
Hadiah semua pasaran Togel :
4D : x3000
3D :X400
2D : x70
ðŸ“ŒLINK SITUS : https://t.co/6ksg4VkVNO
#situsslot #slotgacor #rtpgacor #rans #mobilelegends #tiktokviral #situsbokep https://t.co/oVVxZeePFs",Tekno,prediksi togel online baik tanggal 2 maret 2023 diskon pasar 4d 66 3d 59 2d 29 hadiah x3000 x400 x70 link situs situsslot slotgacor rtpgacor rans mobilelegends tiktokviral situsbokep,0.0331,Positive
2023-03-01T23:45:44+00:00,"juwana30 Sabar ya Kak Juwana, Periodenya hingga Kamis, 2 Maret 2023 pukul 10:00 WIB. Makasih udah partisipasi ;) -Micha",Entertaiment,juwana30 sabar ya kak juwana periode kamis 2 maret 2023 10 00 wib terima kasih partisipasi micha,0.7219,Positive
2023-03-01T23:48:51+00:00,"juwana30 Sakia infoin ya, Kak Juwana. Pemenang tiket  pertandingan MPL Indonesia Season 11 Week 3 bisa dicek di web atau Sosmed Telkomsel. Kalo Kakak menang nanti akan dihubungi langsung oleh pihak kami. Sakia doain semoga Kakak bisa menjadi salah satu pemenang hadiahnya. Tks :) -Sakia",Sport,juwana30 sakia infoin ya kak juwana menang tiket tanding mpl indonesia season 11 wig 3 cek web sosmed telkomsel kakak menang hubung langsung doain moga salah hadiah tks,0.001,Positive
2023-03-01T23:52:13+00:00,ku hadapi maret dengan,Lifestyle,ku hadap maret,0,Neutral
2023-03-02T00:07:00+00:00,Telkomsel Berarti nunggu 3 hari setelah melakukan reaktivasi baru bisa di isi pulsa lagi.? https://t.co/Fiy96d1Nwg,Ekonomi,telkomsel tunggu 3 reaktivasi isi pulsa,-0.3201,Negative
2023-03-02T00:08:07+00:00,"Telkomsel Halo min, saya beli pulsa di my Telkomsel bayarnya pakai shopee pay 3 kali transaksi tapi cuman 2 transaksi saja yang masuk.",Ekonomi,telkomsel halo min beli pulsa my bayar pakai shopee pay 3 kali transaksi cuman 2 masuk,-0.0516,Negative
2023-03-02T00:13:02+00:00,hallonaastore_ Nah nomor Kakak baru bisa direaktivasi melalui dial *888*89# setelah 3 hari mendapatkan notif nomor hangus. Mohon tunggu dulu sampai 3 hari kedepan ya Kak lalu coba kembali buat reaktivasi nomornya ðŸ˜Š -Hanna,Entertaiment,hallonaastore nomor kakak direaktivasi dial 888 89 3 notif hangus mohon tunggu depan ya kak coba reaktivasi nomor hanna,0.0185,Positive
2023-03-02T00:17:14+00:00,"Halo kak!! Jua's in hereðŸ™‹ðŸ»â€â™€ï¸
 Fee convert pulsa 
 á•™â Â Indosat/isat rate 0.78 
 á•™ Telkomsel/tsel rate 0.76 
 ðŸ’ Testi : https://t.co/l4wzh2wWzC 
 ðŸ’Œ https://t.co/dyjPUYNRdF atau dm @duzmpling 
 #zonauang #zonauang 3",Ekonomi,halo kak jua si here fee convert pulsa indosat isat rate 0 78 telkomsel tsel 76 testimoni dm zonauang 3,0.106,Positive
2023-03-02T00:31:00+00:00,"Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904 https://t.co/PuSzNYfIHX",Ekonomi,join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T00:31:21+00:00,"Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904 https://t.co/CaKFTnQWHR",Ekonomi,join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T00:31:30+00:00,"Result Togel : COLOMBIA
Tanggal 02 MARET 2023    
Result  : 6953
Shio     :  BABI
Selamat kepada para pemenang!!    
LINK SITUS : https://t.co/6ksg4VkVNO    

#TOGELJITU #TOGEL #SLOTGACOR #RGOCASH #MISTERIPREDIKSI    
#JPPAUS #SYDNEY #HONGKONG #SINGAPORE #RGOTOTO",Tekno,result togel colombia tanggal 02 maret 2023 6953 shio babi selamat menang link situs togeljitu slotgacor rgocash misteriprediksi jppaus sydney hongkong singapore rgototo,-0.0398,Negative
2023-03-02T00:31:41+00:00,"Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904 https://t.co/MC2JrVGlSb",Ekonomi,join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T00:32:36+00:00,"Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904 https://t.co/hAHqED1vmd",Ekonomi,join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T00:34:05+00:00,"Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904 https://t.co/b8pkVrTk1d",Ekonomi,join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T00:41:57+00:00,"Gue pakek 3 karna ngincer aktif selamanyaðŸ¤£
Telkomsel w dari jaman dulu cuma tak isi masa aktif doang biar tetep hidup, kasian kalo mati",Entertaiment,gue pakai 3 ngincer aktif telkomsel jaman isi doang biar hidup kasihan mati,-0.0172,Negative
2023-03-02T00:42:34+00:00,"Telkomsel  hello CS mimin, mengapa membership saya jadi Silver ya semalam ,padahal transaksi 3 bulan terakhir saya sebesar Rp 548,550 . 
Seharusnya saya adalah gold member.

MyTelkomsel app lagi error kah ??? Mohon di update yaaa ;)",Tekno,telkomsel hello cs admin membership silver ya malam transaksi 3 rp 548 550 gold member mytelkomsel app error kah mohon update,0.0516,Positive
2023-03-02T01:08:41+00:00,Sinyal Telkomsel terbukti mampu sampai ke dalam tambang bawah tanah. Tentu ada relay-nya.,Entertaiment,sinyal telkomsel bukti tambang tanah relay nya,-0.6124,Negative
2023-03-02T01:22:46+00:00,"Telkomsel udh 3 hari ini mamaku mau beli masa aktif selalu gagal, katanya ""system kami sedang sibuk"". Gimana itu ya min?",Entertaiment,telkomsel 3 mama beli aktif gagal system sibuk ya min,0.0135,Positive
2023-03-02T01:29:48+00:00,"Open jasa convert cv cairin tukar ubah pindah pulsa jadi uang ðŸ’¸

âœ…Telkomsel Tsel
âœ…Indosat isat im3
âœ…Three Tri 3
âœ…Xl Axis

Ke :
Saldo Ewallet &amp; Bank Rekening
Ovo Gopay Dana Shopeepay
BCA BNI BRI BTN Mandiri Seabank dll.

Testi cek pinnedðŸ“Œ
#zonauang #zonaba #zonajajan",Ekonomi,open jasa convert cv cairin tukar ubah pindah pulsa uang telkomsel tsel indosat isat im3 three tri 3 xl axis saldo ewallet amp bank rekening ovo gopay dana shopeepay baca bni bri btn mandiri seabank dll testimoni cek pinned zonauang zonaba zonajajan,-0.0042,Negative
2023-03-02T01:48:03+00:00,"VionaCantik01 Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,vionacantik01 join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T01:48:27+00:00,"Afira_AvailBo @Naii_Availbo Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,afira availbo join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
2023-03-02T01:48:50+00:00,"CriseaUntalan @AsyaTrusted Join Yuk Sekarang di PINOPOKER link hoki : https://t.co/k8zAZ2NDLe Rasakan Sensasinya. Jadi jutawan hanya dengan minimal deposit 20rb
Bonus Rollingan 0.3%
Bonus Refferal 15%
Deposit dapat menggunakan
Semua jenis bank bisa buat deposit ^^
PULSA : TELKOMSEL &amp; XL
WA :+855 962509904",Ekonomi,criseauntalan join yuk pinopoker link hoki rasa sensasi jutawan minimal deposit 20rb bonus rollingan 0 3 refferal 15 jenis bank pulsa telkomsel amp xl wa 855 962509904,-0.0282,Negative
